,Video ID,Video Title,Duration in Minutes,Published Datetime
56,C2fA73a8EC0,Optimizing Internal Processes w/Power BI - Enterprise DNA Webinar Series,69.4,2020-07-30 23:43:24
57,k9Osl9RJk9g,"Enterprise DNA Learning Summit - May 2019, DAX Basics & CALCULATE",59.73,2019-05-20 23:34:17
58,Z_5ZaiOGQFg,Unique Data Insights In The Healthcare Space With Anuj Kapoor,61.62,2021-01-12 00:48:41
59,6q2JVV6Ts4Q,"Enterprise DNA Learning Summit - August 2019, Budgeting Techniques",46.78,2019-08-14 23:23:37
60,3p3JwksPaRU,"Enterprise DNA Learning Summit - August 2019, CALCULATE vs CALCULATETABLE",42.97,2019-08-13 23:20:07
61,cEbNrWKkjDc,"Enterprise DNA Learning Summit - May 2018, Encore Session, Day 1",72.75,2018-05-23 09:19:13
62,ehUWgpAhYDo,"Enterprise DNA Learning Summit - May 2018, Session 1",72.85,2018-05-22 23:19:41
63,jgR1BVBp5vs,"Enterprise DNA Learning Summit - May 2018, Session 2",55.68,2018-05-23 02:00:11
64,DQF7HX1NxiE,"Enterprise DNA Learning Summit - May 2018, Session 3",41.93,2018-05-23 22:46:12
65,7mPXmuqvKqo,[Event Overview] Enterprise DNA Learning Summit - May 2018,4.13,2018-05-08 05:13:55
66,u7_2szJHs9E,"Enterprise DNA Learning Summit - November 2019, Developing Enterprise Apps",49.75,2019-11-13 21:23:50
67,3losUTywYUM,Enterprise DNA Business Intelligence Summit - Thinking Analytically & Developing Effectively,68.43,2020-05-18 23:43:35
68,pfrw0aytFUc,Introduction To Power BI Development,48.68,2020-10-22 23:53:34
69,A8rkhfOGNYk,"Enterprise DNA Power BI & DAX Master Class - Session 1, 4 Key Pillars of Power BI Development",82.15,2020-04-25 06:20:12
70,an8Idh_EkN4,"Enterprise DNA Learning Summit - November 2018, Session 4",36.85,2018-11-23 23:38:36
71,DrrpSEvLp2A,Demo - Dynamically change the information within a visual via a slicer,0.27,2016-10-28 05:58:43
72,7JDFXo-eEC8,"Project A Current Trend Forward Repeatedly - Forecasting Techniques, Power BI",7.42,2018-05-03 04:39:51
73,J3PLg5e7k1I,How Much Profit Are We Missing Out On? - Power BI Insights,9.08,2017-12-20 20:30:03
74,EgmUZki7obM,Dynamically Showcase When Customers Purchase Across All Dates - Power BI Viz Tip,7.02,2020-09-07 13:00:04
75,rLFlUXnfeKE,MULTI THREADED DYNAMIC VISUALS,0.4,2017-04-16 03:58:15
76,0ghQbVTdPpY,Introducing Data Nucleus - A Central Hub For Your Cloud Based Data,14.53,2020-07-20 13:51:15
77,oEaOuxH-7Qo,DEMO: This Year Totals vs Last Year Totals,0.32,2016-10-09 02:55:28
78,WtDennuqfgE,Move From An Excel To Power BI Super User,94.6,2021-05-07 00:53:50
79,XLtIOFqJEw8,Advanced Budgeting Insights in Power BI - FREE Workshop,1.23,2017-12-11 02:06:09
80,jRKrtpRM7ms,Brand New Demo Of The Analyst Hub,62.77,2020-10-23 01:15:24
81,Vg6Au7psuWU,Understanding Your Customers Better,4.4,2017-02-27 23:25:02
82,bR4V-wIuMLs,Dynamic Last N Weeks Trend - Intro To Problem Of The Week #5,11.62,2021-02-09 03:01:43
83,xRwGtsdnpD0,How The Analyst Hub Will Become The Social Network For Power BI Users,12.3,2020-10-12 00:00:15
84,Qo6FTx0uKb8,eDNA Community Event,32.43,2021-05-18 03:28:36
85,C3xg4-FA9gI,Financial Analytics - Power BI Demo,1.92,2016-11-17 09:14:31
86,Tu2DDX8XKio,Problem Of The Week - Brand New Enterprise DNA Initiative,15.43,2020-12-01 23:32:19
87,bLJfi8dKNWQ,New Virtual Power BI Deployment Event Series For Data Leaders,8.7,2020-10-09 02:43:08
88,Gy65ehvMunQ,EDNA Bot - App Overview,4.07,2020-12-14 11:00:12
89,0Vr8B7B7zRo,Power BI Challenge 4 - Special Announcement: Now Open To All Power BI Users,19.37,2020-07-20 05:54:42
90,63OPQ8NkS-U,Introducing The Analyst Cloud,5.48,2019-12-06 04:08:13
91,iqgGb_4mzb8,Business Analytics Week Wrap Up Session,63.52,2020-09-18 02:03:36
92,0R_QUt0mad4,"eDNA Community Event - Analyst Hub Update, Community Initiatives, New Content Being Released & More",64.2,2020-12-21 22:07:03
93,58uNc45OZrk,New 'Projects' Feature Now Being Developed Inside The Analyst Hub,11.8,2020-10-14 07:00:10
94,qSgegai7oPI,[Breakout Session 3] Enhanced Data Storytelling | Reporting & Data Visualization Summit,55.38,2022-05-24 04:27:07
95,7jPzuQtXR3A,Share Your Ideas With Us And Drive The Direction Of The Analyst Hub,11.37,2020-11-08 23:02:16
96,xZx5h8WDdgo,"Event Wrap Up, Prizes and Giveaways | Reporting & Data Visualization Summit",19.72,2022-05-27 03:45:25
97,uOBRs_HzJQ8,Learn More About Our Analyst Hub Application - Q&A Session,52.65,2020-09-03 01:23:56
98,oOKOTH9Dcx0,Become A Corporate Sponsor Of Enterprise DNA's Power BI Challenges!,5.58,2020-11-22 23:00:07
99,XoX_xbtm5eE,Community Event - Enterprise DNA Happy Hour,61.77,2020-12-08 04:15:00
100,OFaUFD6bjmA,Reducing Inefficiencies in Business with Power Apps | Innovation Lab,110.48,2022-05-13 02:09:12
101,TQbT4TvF_XE,[Breakout Session 5] Challenge Submission Review | Reporting & Data Visualization Summit,63.73,2022-05-24 10:48:02
102,HXsJum9EOQE,[Breakout Session 6] How to Build Your Own External Toolbar App | Reporting & Data Visualization Sum,43.9,2022-05-24 06:47:02
103,ha6jnZ8owbc,Enterprise DNA Webinar Series - Dashboard Makeover Session in Power BI,1.05,2017-10-02 21:49:45
104,ZnqIXZWv0F0,Q&A feature highlights for Power BI,1.93,2016-11-27 22:02:10
105,7saPSIx2pIs,Data Shaping - Power BI Accelerator Week #8 Solution Q&A Session (Member-Only Event),74.35,2022-01-24 02:55:18
106,i4Dk5H9Y-yE,Upcoming Live Training Webinar - Understanding Your Customers Better,1.37,2017-07-20 02:53:18
107,ezvtB5LJLCY,"Variables, Row Context & Iterating Functions - Power BI Accelerator Week #4 Solution/Q&A Session",77.22,2021-08-27 00:16:18
108,MO9FnxPq-nI,Time Intelligence - Power BI Accelerator Week #5 Solution/Q&A Session (Member-Only Event),89.42,2021-09-22 00:06:56
109,OKV2C80iUGc,Free Power BI Training Event From Enterprise DNA,0.28,2018-08-20 22:53:12
110,Z2bbRsVrakQ,"Enterprise DNA Learning Summit, August 2018 - PREVIEW",6.47,2018-08-16 22:27:28
111,8Rd92b-Lwy4,Building A Great UI/UX - Power BI Accelerator Week #6 Solution Q&A Session (Member-Only Event),67.92,2021-10-24 23:20:38
112,8aLumTacNpA,Free Power BI Training Event From Enterprise DNA,2.75,2018-05-10 01:01:40
113,PaUR1sqbmLA,Advertising & Marketing Campaigns - Enterprise DNA Member Only Event,69.43,2018-10-23 02:30:06
114,nPJnwql5dMk,How To Place DAX Formula Into Enterprise DNA Forum Topics,2.37,2018-02-13 20:13:29
115,RqGuOi8ECXA,Enterprise DNA Power BI & DAX Master Class - 4 Key Pillars of Power BI,78.27,2021-04-29 00:40:09
116,EX9ra5W5q9Y,Get Involved In Our Community Initiatives,2.42,2021-08-26 00:09:07
